,time_to_equilibrium,mean_happiness_checking_duration,mean_number_of_unhappy,median_number_of_unhappy,variance_of_unhappy_numbers,entropy_of_table_population,average_minority_percent,inter_table_variance_in_minority_percentages
222,99,3.998517990112305e-05,10.0,10.0,101.01010101010101,1.4305622903362423,0.20714285714285713,0.035918367346938776
223,99,0.00010992527008056641,10.0,10.0,101.01010101010101,1.4475521940157818,0.15714285714285714,0.04163265306122449
224,99,7.999420166015625e-05,10.0,10.0,101.01010101010101,1.5741030017371853,0.39999999999999997,0.006666666666666668
225,99,4.998207092285156e-05,10.0,10.0,101.01010101010101,1.5113949670044375,0.24000000000000005,0.038400000000000004
226,99,6.996870040893555e-05,10.0,10.0,101.01010101010101,1.4708084763221114,0.325,0.034999999999999996
227,99,5.007028579711914e-05,10.0,10.0,101.01010101010101,1.2610015651789201,0.39090909090909093,0.03851239669421487
228,99,5.006313323974609e-05,10.0,10.0,101.01010101010101,1.4964159349401391,0.41571428571428565,0.008416326530612243
229,99,7.999658584594726e-05,10.0,10.0,101.01010101010101,1.487798380001651,0.36666666666666664,0.03777777777777778
230,99,5.9938430786132814e-05,10.0,10.0,101.01010101010101,1.5113949670044378,0.21000000000000002,0.016400000000000005
231,99,7.996320724487304e-05,10.0,10.0,101.01010101010101,1.5047882836811908,0.23333333333333334,0.05111111111111112
232,99,3.997564315795898e-05,10.0,10.0,101.01010101010101,1.5614694247763998,0.17333333333333334,0.022399999999999996
233,99,6.0017108917236326e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.3633333333333333,0.006933333333333333
234,99,4.001379013061524e-05,10.0,10.0,101.01010101010101,1.5671808548329902,0.32,0.0376
235,99,2.005577087402344e-05,10.0,10.0,101.01010101010101,1.5571130980576458,0.33333333333333337,0.04444444444444444
236,99,3.998279571533203e-05,10.0,10.0,101.01010101010101,1.4877983800016508,0.26666666666666666,0.05111111111111111
237,99,3.99923324584961e-05,10.0,10.0,101.01010101010101,1.3762266043445464,,
238,99,4.9998760223388674e-05,10.0,10.0,101.01010101010101,1.4886936332683078,0.32666666666666666,0.029511111111111116
239,99,2.998828887939453e-05,10.0,10.0,101.01010101010101,1.5444795210968603,0.36333333333333334,0.006933333333333335
240,99,4.997491836547852e-05,10.0,10.0,101.01010101010101,1.4964159349401391,0.15714285714285714,0.04163265306122449
241,99,2.9993057250976562e-05,10.0,10.0,101.01010101010101,1.4886936332683078,0.29333333333333333,0.022400000000000003
